hour,resource,ram_gi,ram_gi_ai_unit_hours,cpu,cpu_ai_unit_hours,gpu,gpu_ai_unit_hours,ai_units
2024-10-24 04:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 04:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 04:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 05:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 05:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 05:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 06:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 06:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 06:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 07:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 07:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 07:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 08:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 08:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 08:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 09:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 09:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 09:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 10:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 10:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 10:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 11:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 11:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 11:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 12:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 12:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 12:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 13:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 13:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 13:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 14:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 14:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 14:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 15:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 15:00:00+00:00,mlops,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 15:00:00+00:00,steam,0,0E-20,0,0E-20,0,0,0E-20
2024-10-24 16:00:00+00:00,appstore,0,0E-20,0,0E-20,0,0,0E-20
